"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11"
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-17",,,,,,"60","76","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-18",,,,,,"65","79","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-19",,,,,,"62","73","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-20",,,,,,"56","68","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-21",,,,,,"56","68","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-22",,,,,,"51","58","47",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-23",,,,,,"58","73","44",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-24",,,,,,"69","82","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-25",,,,,,"72","87","61",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-26",,,,,,"68","80","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-27",,,,,,"57","72","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-28",,,,,,"55","65","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-29",,,,,,"59","72","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-04-30",,,,,,"64","79","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-01",,,,,,"61","74","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-02",,,,,,"59","73","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-03",,,,,,"57","70","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-04",,,,,,"64","81","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-05",,,,,,"69","83","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-06",,,,,,"70","80","58",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-07",,,,,,"61","75","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-08",,,,,,"55","64","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-09",,,,,,"55","66","48",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-10",,,,,,"55","68","46",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-11",,,,,,"53","64","43",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-12",,,,,,"66","77","49",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-13",,,,,,"74","88","60",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-14",,,,,,"79","93","68",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-15",,,,,,"73","88","56",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-16",,,,,,"63","78","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-17",,,,,,"60","73","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-18",,,,,,"61","76","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-19",,,,,,"59","75","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-20",,,,,,"56","61","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-21",,,,,,"56","64","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-22",,,,,,"59","72","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-23",,,,,,"58","73","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-24",,,,,,"63","79","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-25",,,,,,"69","78","59",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-26",,,,,,"63","77","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-27",,,,,,"60","77","51",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-28",,,,,,"58","67","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-29",,,,,,"60","70","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-30",,,,,,"62","76","53",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-05-31",,,,,,"64","77","50",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-01",,,,,,"68","83","54",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-02",,,,,,"67","83","54",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-03",,,,,,"63","82","52",,,,,,,,,,,
"USR0000CGOO","33.0736","-116.8458","466.3","2022-06-04",,,,,,"62","74","53",,,,,,,,,,,
